task_id,customer_id,task_name,owner,due_date,status
T0419,C047,PAN / UAN Verification,Ops,2026-09-14,Pending
T0420,C047,Attendance & Leave Config,Payroll Ops,2026-09-18,Pending
T0421,C047,Salary Structure Mapping,Payroll Ops,2026-09-21,Pending
T0422,C047,Pre-run Reconciliation,Payroll Ops,2026-09-26,Pending
T0423,C047,Customer Approval Sign-off,Customer,2026-09-30,Pending
T0424,C048,Company Info & KYC,Customer,2026-08-31,Completed
T0425,C048,Document Collection,Customer,2026-09-03,Completed
T0426,C048,Employee Data Upload,Customer,2026-09-07,Completed
T0427,C048,Bank Details Verification,Ops,2026-09-11,Completed
T0428,C048,PAN / UAN Verification,Ops,2026-09-13,Completed
T0429,C048,Attendance & Leave Config,Payroll Ops,2026-09-17,Completed
T0430,C048,Salary Structure Mapping,Payroll Ops,2026-09-20,Completed
T0431,C048,Pre-run Reconciliation,Payroll Ops,2026-09-25,Completed
T0432,C048,Customer Approval Sign-off,Customer,2026-09-29,Completed
T0433,C049,Company Info & KYC,Customer,2026-07-31,Blocked
T0434,C049,Document Collection,Customer,2026-08-03,Pending
T0435,C049,Employee Data Upload,Customer,2026-08-07,Pending
T0436,C049,Bank Details Verification,Ops,2026-08-11,Pending
T0437,C049,PAN / UAN Verification,Ops,2026-08-13,Pending
T0438,C049,Attendance & Leave Config,Payroll Ops,2026-08-17,Pending
T0439,C049,Salary Structure Mapping,Payroll Ops,2026-08-20,Pending
T0440,C049,Pre-run Reconciliation,Payroll Ops,2026-08-25,Pending
T0441,C049,Customer Approval Sign-off,Customer,2026-08-29,Pending
T0442,C050,Company Info & KYC,Customer,2026-08-11,Completed
T0443,C050,Document Collection,Customer,2026-08-14,Completed
T0444,C050,Employee Data Upload,Customer,2026-08-18,Completed
T0445,C050,Bank Details Verification,Ops,2026-08-22,Completed
T0446,C050,PAN / UAN Verification,Ops,2026-08-24,Completed
T0447,C050,Attendance & Leave Config,Payroll Ops,2026-08-28,Completed
T0448,C050,Salary Structure Mapping,Payroll Ops,2026-08-31,Completed
T0449,C050,Pre-run Reconciliation,Payroll Ops,2026-09-05,In Progress
T0450,C050,Customer Approval Sign-off,Customer,2026-09-09,Pending
